"","OB_END_TIME","MAX_AIR_TEMP"
"179","1960-05-01 21:00",5
"180","1960-06-01 21:00",15
"181","1960-07-01 21:00",12.8
"182","1960-08-01 21:00",15
"183","1960-09-01 21:00",13.3
"184","1960-10-01 21:00",12.8
"185","1960-11-01 21:00",7.2
"186","1960-12-01 21:00",8.3
"187","1961-01-01 21:00",6.3
"188","1961-02-01 21:00",4.6
"189","1961-03-01 21:00",7.9
"190","1961-04-01 21:00",2.8
"191","1961-05-01 21:00",8.3
"192","1961-06-01 21:00",9.4
"193","1961-07-01 21:00",16.1
"194","1961-08-01 21:00",14.8
"195","1961-09-01 21:00",14.7
"196","1961-10-01 21:00",13.7
"197","1961-11-01 21:00",8.9
"198","1961-12-01 21:00",4.3
"199","1962-01-01 21:00",3.9
"200","1962-02-01 21:00",4.3
"201","1962-03-01 21:00",4.1
"202","1962-04-01 21:00",7.2
"203","1962-05-01 21:00",8.4
"204","1962-06-01 21:00",8.5
"205","1962-07-01 21:00",12.2
"206","1962-08-01 21:00",12.9
"207","1962-09-01 21:00",14.9
"208","1962-10-01 21:00",12.1
"209","1962-11-01 21:00",7.7
"210","1962-12-01 21:00",7.2
"211","1963-01-01 21:00",2.3
"212","1963-02-01 21:00",2.2
"213","1963-03-01 21:00",6.2
"214","1963-04-01 21:00",7.8
"215","1963-05-01 21:00",7
"216","1963-06-01 21:00",15.2
"217","1963-07-01 21:00",12.1
"218","1963-08-01 21:00",19.2
"219","1963-09-01 21:00",13.7
"220","1963-10-01 21:00",9
"221","1963-11-01 21:00",8.8
"222","1963-12-01 21:00",8
"223","1964-01-01 21:00",6.5
"224","1964-02-01 21:00",7.5
"225","1964-03-01 21:00",7.5
"226","1964-04-01 21:00",7
"227","1964-05-01 21:00",9.9
"228","1964-06-01 21:00",7.6
"229","1964-07-01 21:00",13
"230","1964-08-01 21:00",11.7
"231","1964-09-01 21:00",14.6
"232","1964-10-01 21:00",12.5
"233","1964-11-01 21:00",8.9
"234","1964-12-01 21:00",6.4
"235","1965-01-01 21:00",2.9
"236","1965-02-01 21:00",2.9
"237","1965-03-01 21:00",-0.7
"238","1965-04-01 21:00",6.8
"239","1965-05-01 21:00",7.3
"240","1965-06-01 21:00",10.8
"241","1965-07-01 21:00",10.4
"242","1965-08-01 21:00",10.2
"243","1965-09-01 21:00",13.5
"244","1965-10-01 21:00",13.8
"245","1965-11-01 21:00",6.8
"246","1965-12-01 21:00",1.5
"247","1966-01-01 21:00",3.7
"248","1966-02-01 21:00",2.5
"249","1966-03-01 21:00",6.8
"250","1966-04-01 21:00",2
"251","1966-05-01 21:00",13
"252","1966-06-01 21:00",10.6
"253","1966-07-01 21:00",13.4
"254","1966-08-01 21:00",13.3
"255","1966-09-01 21:00",14.5
"256","1966-10-01 21:00",10.4
"257","1966-11-01 21:00",4.2
"258","1966-12-01 21:00",5.5
"259","1967-01-01 21:00",3.8
"260","1967-02-01 21:00",6.7
"261","1967-03-01 21:00",4.5
"262","1967-04-01 21:00",4.6
"263","1967-05-01 21:00",5.6
"264","1967-06-01 21:00",10.2
"265","1967-07-01 21:00",13
"266","1967-08-01 21:00",13
"267","1967-09-01 21:00",13.1
"268","1967-10-01 21:00",13.2
"269","1967-11-01 21:00",7
"270","1967-12-01 21:00",9.3
"271","1968-01-01 21:00",3.4
"272","1968-02-01 21:00",3
"273","1968-03-01 21:00",5.4
"274","1968-04-01 21:00",-0.8
"275","1968-05-01 21:00",7.2
